vulnerable_package,dependency_name,dependency_version_spec,vulnerability_version_specs
apache-airflow-providers-apache-spark,pyspark,>=3.1.3,"['<2.3.3', '<3.4.0', '<=3.0.3', '==2.3.0', '>=0,<2.1.3', '>=0,<2.2.0', '>=0,<2.4.6', '>=0,<3.1.3', '>=0,<3.2.2', '>=1.0.2,<2.2.3', '>=1.6.0,<2.1.2', '>=2.1.0,<2.1.3', '>=2.2.0,<2.2.2', '>=2.3.0,<2.3.2', '>=3.1.1,<=3.1.3', '>=3.2.0,<3.2.2', '>=3.2.0,<=3.2.1']"
vllm,numpy,<2.0.0,"['<1.13.2', '<1.16.3', '<1.21.0rc1', '<1.22.0', '<1.22.2', '<1.8.1']"
vllm,ray,>=2.9,"['<1.10.0', '<1.8.0', '<1.9.1', '<1.9.2', '<2.11.0', '<2.8.1', '<2.9.0', '>=0']"
aim,cryptography,>=3.0,"['<0.9.1', '<1.0.2', '<1.5.3', '<2.1.3', '<3.3', '<3.3.2', '<39.0.1', '<41.0.0', '<41.0.2', '<41.0.4', '<41.0.5', '<42.0.0', '<42.0.2', '<42.0.5', '<42.0.8', '<=3.2', '>=0,<1.1', '>=0.8,<41.0.3', '>=1.8,<39.0.1', '>=1.9.0,<2.3', '>=3.1,<41.0.6', '>=35.0.0,<42.0.0', '>=35.0.0,<42.0.2', '>=35.0.0,<42.0.6', '>=37.0.0,<38.0.3', '>=37.0.0,<43.0.1', '>=38.0.0,<42.0.4']"
aim,jinja2,"<4,>=2.10.0","['<2.11.3', '<2.7.2', '<2.8.1', '<3.1.3', '<3.1.4', '<3.1.5', '>=0,<2.10.1', '>=0,<2.7.3']"
feast,pyarrow,<18.1.0,"['>=0.12.0,<=0.14.1', '>=0.14.0,<=0.14.1', '>=0.14.0,<=14.0.0']"
feast,pydantic,>=2.0.0,"['<1.10.13', '<1.10.2', '<1.6.2', '>=1.7.0a0,<1.7.4', '>=1.8.0a1,<1.8.2', '>=2.0.0,<2.4.0', '>=2.0a1,<2.4.0']"
feast,tqdm,"<5,>=4","['<4.11.2', '<4.66.3']"
feast,moto,<5,['<1.3.7']
feast,urllib3,"<3,>=1.25.4","['<1.23', '<1.24.2', '<1.24.3', '<1.25.9', '<1.26.17', '<1.26.18', '<1.26.5', '<=1.26.18', '==1.17', '==1.18', '>=0,<1.8', '>=1.25.2,<=1.25.7', '>=1.26.0,<1.26.4', '>=2.0.0a1,<2.0.5', '>=2.0.0a1,<2.0.7', '>=2.0.0a1,<=2.2.1']"
feast,pre-commit,<3.3.2,['<1.10.4']
feast,virtualenv,<20.24.2,"['<1.5', '<20.21.0', '<20.26.6']"
feast,redis,"<5,>=4.2.2","['>=4.2.0rc1,<4.3.6', '>=4.2.0rc1,<4.4.4', '>=4.4.0rc1,<4.4.3', '>=4.5.0,<4.5.3', '>=4.5.0,<4.5.4']"
feast,hiredis,"<3,>=2.0.0",['<2.1.0']
feast,aiobotocore,"<3,>2",['<2.9.1']
feast,kubernetes,<=20.13.0,"['<10.0.1', '<25.3.0', '<7.0.1', '>=8.0,<8.0.1', '>=9.0,<9.0.0a1']"
feast,pyspark,"<4,>=3.0.0","['<2.3.3', '<3.4.0', '<=3.0.3', '==2.3.0', '>=0,<2.1.3', '>=0,<2.2.0', '>=0,<2.4.6', '>=0,<3.1.3', '>=0,<3.2.2', '>=1.0.2,<2.2.3', '>=1.6.0,<2.1.2', '>=2.1.0,<2.1.3', '>=2.2.0,<2.2.2', '>=2.3.0,<2.3.2', '>=3.1.1,<=3.1.3', '>=3.2.0,<3.2.2', '>=3.2.0,<=3.2.1']"
feast,psycopg,"<4,>=3.0.0",['<3.0.4']
feast,sqlite-vec,==v0.1.1,['<0.1.3']
feast,moto,<5,['<1.3.7']
feast,urllib3,"<3,>=1.25.4","['<1.23', '<1.24.2', '<1.24.3', '<1.25.9', '<1.26.17', '<1.26.18', '<1.26.5', '<=1.26.18', '==1.17', '==1.18', '>=0,<1.8', '>=1.25.2,<=1.25.7', '>=1.26.0,<1.26.4', '>=2.0.0a1,<2.0.5', '>=2.0.0a1,<2.0.7', '>=2.0.0a1,<=2.2.1']"
feast,pre-commit,<3.3.2,['<1.10.4']
feast,virtualenv,<20.24.2,"['<1.5', '<20.21.0', '<20.26.6']"
feast,redis,"<5,>=4.2.2","['>=4.2.0rc1,<4.3.6', '>=4.2.0rc1,<4.4.4', '>=4.4.0rc1,<4.4.3', '>=4.5.0,<4.5.3', '>=4.5.0,<4.5.4']"
feast,hiredis,"<3,>=2.0.0",['<2.1.0']
feast,aiobotocore,"<3,>2",['<2.9.1']
feast,kubernetes,<=20.13.0,"['<10.0.1', '<25.3.0', '<7.0.1', '>=8.0,<8.0.1', '>=9.0,<9.0.0a1']"
feast,pyspark,"<4,>=3.0.0","['<2.3.3', '<3.4.0', '<=3.0.3', '==2.3.0', '>=0,<2.1.3', '>=0,<2.2.0', '>=0,<2.4.6', '>=0,<3.1.3', '>=0,<3.2.2', '>=1.0.2,<2.2.3', '>=1.6.0,<2.1.2', '>=2.1.0,<2.1.3', '>=2.2.0,<2.2.2', '>=2.3.0,<2.3.2', '>=3.1.1,<=3.1.3', '>=3.2.0,<3.2.2', '>=3.2.0,<=3.2.1']"
feast,psycopg,"<4,>=3.0.0",['<3.0.4']
feast,sqlite-vec,==v0.1.1,['<0.1.3']
feast,aiobotocore,"<3,>2",['<2.9.1']
feast,kubernetes,<=20.13.0,"['<10.0.1', '<25.3.0', '<7.0.1', '>=8.0,<8.0.1', '>=9.0,<9.0.0a1']"
feast,redis,"<5,>=4.2.2","['>=4.2.0rc1,<4.3.6', '>=4.2.0rc1,<4.4.4', '>=4.4.0rc1,<4.4.3', '>=4.5.0,<4.5.3', '>=4.5.0,<4.5.4']"
feast,hiredis,"<3,>=2.0.0",['<2.1.0']
feast,pyspark,"<4,>=3.0.0","['<2.3.3', '<3.4.0', '<=3.0.3', '==2.3.0', '>=0,<2.1.3', '>=0,<2.2.0', '>=0,<2.4.6', '>=0,<3.1.3', '>=0,<3.2.2', '>=1.0.2,<2.2.3', '>=1.6.0,<2.1.2', '>=2.1.0,<2.1.3', '>=2.2.0,<2.2.2', '>=2.3.0,<2.3.2', '>=3.1.1,<=3.1.3', '>=3.2.0,<3.2.2', '>=3.2.0,<=3.2.1']"
feast,psycopg,"<4,>=3.0.0",['<3.0.4']
